Sex,isactive,Children,Educations,Age,Position,BirthPlace,InsuranceMonth,Marriage,Height,Unit,Horoscope,gender_retention_rate,education_retention_rate,age_group_retention_rate
Male,0,0,Elementary,15,Ring,Qom,0,Married,181,Production,Esfand,32.32405892,17.67241379,34.40443213
Female,0,0,Diploma,34,Ring,Qom,0,Married,164,Production,Shahrivar,38.27993255,36.96275072,33.28748281
Female,0,0,Elementary,34,Ring,Qom,0,Married,164,Production,Shahrivar,38.27993255,17.67241379,33.28748281
Male,0,0,Diploma,34,Maintenance and Repairs,Qom,0,Married,174,Production,Shahrivar,32.32405892,36.96275072,33.28748281
Male,1,3,Elementary,41,Security,Qom,29,Married,169,Production,Mordad,32.32405892,17.67241379,36.50485437
Male,1,2,PostDiploma,39,Ring,Kohgiluyeh and Boyer Ahmad,0,Married,176,Production,Mehr,32.32405892,39.78494624,36.50485437
Male,1,1,Diploma,36,Warehouse,Central,41,Married,174,Production,Khordad,32.32405892,36.96275072,36.50485437
Male,1,0,PostDiploma,40,Flyer,Qom,0,Single,175,Production,Farvardin,32.32405892,39.78494624,36.50485437
Male,1,1,PostDiploma,35,Ring,Qom,6,Married,176,Production,Dey,32.32405892,39.78494624,36.50485437
Male,0,2,Diploma,40,Passage,Saveh,68,Married,178,Production,Dey,32.32405892,36.96275072,36.50485437
Male,1,1,PostDiploma,36,Autoconer,Qom,0,Married,173,Production,Bahman,32.32405892,39.78494624,36.50485437
Male,1,1,PostDiploma,37,Warehouse,Qom,30,Single,175,Production,Azar,32.32405892,39.78494624,36.50485437
Male,1,0,Diploma,34,Maintenance and Repairs,Qom,0,Single,120,Production,Mordad,32.32405892,36.96275072,33.28748281
Male,1,2,Diploma,36,Ring,East Azerbaijan,33,Married,169,Production,Mehr,32.32405892,36.96275072,36.50485437
Female,1,0,Bachelor,36,Technical and Engineering,Qom,0,Married,161,Production,Aban,38.27993255,40.17094017,36.50485437
Female,1,0,Bachelor,39,Laboratory,Qom,5,Single,158,Production,Khordad,38.27993255,40.17094017,36.50485437
Female,1,2,HighSchool,43,Doubling,Alborz,0,Single,163,Production,Mordad,38.27993255,33.58633776,44.7761194
Female,1,0,Diploma,40,Autoconer,Central,0,Single,161,Production,Aban,38.27993255,36.96275072,36.50485437
Male,0,0,Diploma,36,Security,Qom,28,Single,183,Production,Dey,32.32405892,36.96275072,36.50485437
Male,1,1,HighSchool,34,Maintenance and Repairs,West Azerbaijan,13,Married,176,Production,Khordad,32.32405892,33.58633776,33.28748281
Female,1,0,HighSchool,42,Autoconer,Qom,21,Single,162,Production,Shahrivar,38.27993255,33.58633776,44.7761194
Male,1,1,Diploma,41,Passage,Qom,0,Married,169,Production,Mordad,32.32405892,36.96275072,36.50485437
Female,1,2,Diploma,43,Autoconer,Isfahan,8,Married,151,Production,Dey,38.27993255,36.96275072,44.7761194
Female,1,0,Elementary,45,Autoconer,Zanjan,52,Single,160,Production,Shahrivar,38.27993255,17.67241379,44.7761194
Female,1,2,Diploma,44,Autoconer,Varamin,0,Married,162,Production,Azar,38.27993255,36.96275072,44.7761194
Male,0,1,Elementary,42,Passage,Rudsar,46,Married,173,Production,Tir,32.32405892,17.67241379,44.7761194
Male,1,0,PostDiploma,39,Maintenance and Repairs,East Azerbaijan,0,Married,169,Production,Mehr,32.32405892,39.78494624,36.50485437
Female,1,0,HighSchool,42,Autoconer,Qom,0,Single,144,Production,Farvardin,38.27993255,33.58633776,44.7761194
Female,1,1,Diploma,46,Laboratory,Qom,0,Married,163,Production,Bahman,38.27993255,36.96275072,44.7761194
Male,1,0,HighSchool,35,Ring,Qom,20,Single,176,Production,Aban,32.32405892,33.58633776,36.50485437
Male,0,1,HighSchool,38,Maintenance and Repairs,Zanjan,38,Single,177,Production,Khordad,32.32405892,33.58633776,36.50485437
Male,1,1,Diploma,42,Passage,Qom,98,Married,169,Production,Mordad,32.32405892,36.96275072,44.7761194
Male,1,2,HighSchool,34,Flyer,Qom,12,Married,171,Production,Esfand,32.32405892,33.58633776,33.28748281
Male,1,0,HighSchool,39,Carding,Qom,31,Single,176,Production,Khordad,32.32405892,33.58633776,36.50485437
Male,1,3,Bachelor,40,Ring,Central,37,Single,177,Technical,Azar,32.32405892,40.17094017,36.50485437
Male,1,2,Diploma,32,Ring,Qom,12,Married,177,Production,Dey,32.32405892,36.96275072,33.28748281
Male,1,0,Diploma,37,Ring,Central,58,Single,176,Production,Azar,32.32405892,36.96275072,36.50485437
Male,1,1,HighSchool,37,Maintenance and Repairs,Qom,73,Married,172,Production,Mehr,32.32405892,33.58633776,36.50485437
Male,1,1,Bachelor,37,Electronic,Qom,5,Married,175,Production,Farvardin,32.32405892,40.17094017,36.50485437
Male,1,0,Diploma,37,Technical and Engineering,Hamadan,81,Single,175,Production,Mordad,32.32405892,36.96275072,36.50485437
Female,1,0,Bachelor,39,Ring,Qom,22,Single,157,Production,Shahrivar,38.27993255,40.17094017,36.50485437
Male,1,2,Diploma,36,Ring,Qom,22,Married,176,Production,Mehr,32.32405892,36.96275072,36.50485437
Male,1,2,HighSchool,33,Ring,Qom,14,Married,175,Production,Khordad,32.32405892,33.58633776,33.28748281
Male,1,0,Diploma,31,Security,Qom,0,Single,167,Production,Dey,32.32405892,36.96275072,33.28748281
Male,0,2,Diploma,34,Maintenance and Repairs,Qom,31,Married,174,Production,Bahman,32.32405892,36.96275072,33.28748281
Male,1,0,Bachelor,35,Flyer,Central,0,Married,170,Production,Dey,32.32405892,40.17094017,36.50485437
Male,1,1,Diploma,36,Warehouse,West Azerbaijan,38,Single,164,Production,Mordad,32.32405892,36.96275072,36.50485437
Male,0,1,HighSchool,35,Ring,Rosen,0,Single,173,Production,Bahman,32.32405892,33.58633776,36.50485437
